title,price,mark,score
"Téléphone Google Pixel 8 Débloqué 5G, 8Go 256GB Noir volcanique",568.8,Téléphone,4.2
"Samsung Galaxy Z Fold6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Rose, Version FR",0.0,Samsung,4.7
"Samsung Galaxy Z Flip6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu, Version FR",984.0,Samsung,3.7
"SPC Stella 2 - Téléphone Portable Senior à Clapet avec Grosses Touches, Bouton SOS, Facile à Utiliser, 3 Mémoires Directes, Base de Chargement - Noir",30.99,SPC,4.2
"HONOR 200 Lite, Smartphone 5G, 8 Go + 256 Go, écran AMOLED Anti-Chute 6,7 Pouces, Triple Appareil Photo arrière 108 Mpx, Appareil Photo Avant 50 Mpx, Double SIM, Android 14, Cyan",184.9,HONOR,4.2
"MsMga Smartphone Bon marché et agréable, écran IPS de 5,0 Pouces, 16 Go de ROM (évolutif jusqu'à 128 Go), Android 9.0, Double Caméra Double 3G SIM Téléphone Mobile (Light Purple)",0.0,MsMga,2.3
Xiaomi Redmi Note 13 5G 8GB+256GB White(Version Française + 2 Ans de Garantie),201.9,Xiaomi,4.3
"XIAOMI REDMI NOTE 13 8/256G 4G Blue, Ecran 6.67'', Smartphone Débloqué, Batterie mAh 5000, Mémoire ROM 256GO,RAM 8GO, Android 13, Processeur Snapdragon® 685, Gravure en 6nm, huit-coeurs jusqu’à 2,8GHz",127.5,XIAOMI,4.3
"Xiaomi Smartphone Redmi 12, 128 Go, 4G, Grand écran de 6,79’’, Triple caméra arrière de 50MP avec IA, Batterie Haute capacité de 5000mAh, Bleu",132.69,Xiaomi,4.1
Xiaomi Redmi A3 Dual SIM 3GB RAM 64GB Midnight Black EU,79.0,Xiaomi,4.0
"Xiaomi Redmi A3 Vert Forêt 3+64go 6,71"" 90hz HD+",82.95,Xiaomi,4.4
Samsung SM-A057 Galaxy A05s Dual SIM 4GB RAM 64GB Black EU,117.65,Samsung,4.3
"Xiaomi REDMI A3 4, Telephone Portable 128GB, Double caméra arrière 8MP avec IA, Compatible Charge Rapide 10W, Noir",96.65,Xiaomi,4.0
"XIAOMI REDMI NOTE 13 4G, Ecran 6.67'', Batterie mAh 5000, Mémoire ROM 256GO,RAM 8GO, Android 13, Snapdragon®685, Midnight Black",183.0,XIAOMI,4.1
Xiaomi Redmi A3 Dual SIM 3GB RAM 64GB Star Blue EU,78.99,Xiaomi,4.4
"Xiaomi Redmi 13C 8GB RAM 256GB ROM [Version Globale] (Midnight Black), Triple caméra arrière de 50MP avec IA",147.79,Xiaomi,4.1
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Rose Pivoine, 256GB",899.0,Google,4.5
"Google Pixel 8 Pro – Smartphone Android débloqué avec téléobjectif, 24 Heures d'autonomie et écran Super Actua– Bleu Azur, 128GB",599.99,Google,4.4
"Hammer H Power LTE Télephone avec Boutons Incassable Debloqué IP68 Résistant Etanche Antichoc, Dual SIM, Batterie 3100 mAh, Grosses Touches, Caméra 2mpx, Lampe de Poche, Boost, Noir",73.0,Hammer,3.8
"Motorola Moto E14 (2/64 Go, Batterie 5000 Mah, Écran 6,56' Hd+ 90 Hz, Appareil Photo 13Mp, Processeur Unisoc T606, Dual Sim, Android 14 (Go Edition)), Gris Anthracite",71.35,Motorola,4.2
Samsung Galaxy A14 4G 64GB Black,137.49,Samsung,4.3
"Xiaomi Redmi Note 13 Pro 16,9 cm (6.67"") Double SIM 5G USB Type-C 8 Go 256 Go 5100 mAh Noir Black",292.96,Xiaomi,4.4
Smartphone XIAOMI REDMI14C128VERT,113.83,Smartphone,5.0
"Xiaomi REDMI A3 4, Telephone portable128GB, Double caméra avec IA, Compatible Charge Rapide 10W, Bleu",85.68,Xiaomi,4.2
Samsung Galaxy A15 4G Smartphone 128 Go Bleu nuit,139.49,Samsung,4.4
Smartphone XIAOMI REDMI14C128NOIR,113.83,Smartphone,4.2
"Xiaomi REDMI Note 13 4G Mint Green, Ecran 6.67'', Smartphone Débloqué, Batterie mAh 5000, Mémoire ROM 128GO,RAM 8GO, Android 13, Processeur Snapdragon® 685, Gravure en 6nm, Huit-Coeurs Jusqu’à 2,8GHz",135.0,Xiaomi,4.5
Samsung SM-A057 Galaxy A05s Dual SIM 4GB RAM 128GB Light Green EU,140.35,Samsung,4.3
"HAMMER H Rock Télephone Portable Incassable Debloqué IP68 Résistant Etanche Antichoc, Dual SIM, Batterie 1800mAh, Grosses Touches, Radio FM, MP3, Caméra, Lampe de Poche Noir",45.0,HAMMER,3.9
Energizer - Mobile E4 - Téléphone Senior Débloqué 2G - Bouton SOS - Batterie 1000 mAh - Clavier à Touches - Double Sim - FM Radio - Torche - Noir,14.99,Energizer,0.0
NOKIA 3310 - GSM 900/1800 (gris),94.65,NOKIA,3.2
Energizer - Mobile E13-2G - Téléphone Portable Double Sim - Noir - Mini SIM - Débloqué - Torche,27.55,Energizer,3.8
"Google Pixel 9 Pro – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,3 Pouces – Porcelaine, 256GB",0.0,Google,4.5
"HONOR 200 Lite, Smartphone 5G, 8 Go + 256 Go, écran AMOLED Anti-Chute 6,7 Pouces, Triple Appareil Photo arrière 108 Mpx, Appareil Photo Avant 50 Mpx, Double SIM, Android 14, Cyan",184.9,HONOR,4.2
"Google Pixel 9 Pro XL – Smartphone Android débloqué avec Gemini, Triple Appareil Photo arrière, 24 Heures d'autonomie et écran Super Actua 6,8 Pouces – Noir Volcanique, 128GB",0.0,Google,4.3
"Xiaomi POCO X6 5G, Téléphone Mobile 12/256Go Noir, Carte SIM Non Incluse, Smartphone Android, Version FR",268.7,Xiaomi,4.5
"Energizer - Smartphone U506S - Pas Cher Débloqué 2GB RAM / 32GB ROM - Ecran 5"" - 3000 mah Batterie - Caméra 5MP+QVGA arrière / 2MP Avant - Android 13 GO - Noir",59.99,Energizer,3.8
Nokia 106 unlocked 4GB Dual Sim 2018 Gris Foncé avec Lampe Torche LED Radio FM Grand Bouton Téléphone,29.17,Nokia,3.0
"Xiaomi Redmi Note 13 Pro Smartphone, 5G, 8 + 256 GB, 16,67 cm (6,67 Zoll) Display, 1,5K 120 Hz AMOLED-Display, Snapdragon 7s, Ultra -Clear 200-MP-Kamera mit OIS, 5100 mAh, 67 W Turboaufladung, Blau",312.59,Xiaomi,4.4
"SAMSUNG Galaxy A14 5G, Téléphone portable 128 Go Noir Téléphone Intelligent (Android sans carte SIM)",189.0,SAMSUNG,4.2
Smartphone XIAOMI REDMI14C128BLEU,113.83,Smartphone,3.5
Sony Xperia 10 VI Noir - 6.1 Pouces 21:9 Wide OLED - Trois Longueurs Focales - Prise Jack 3.5 mm - Android 14 - Débloqué - 128GO - 8GO RAM - Extension Garantie 12 Mois Offerte [Exclusivité Amazon],299.0,Sony,3.9
Samsung Galaxy A55 5G Smartphone 256GB Mitternachtsblau,384.0,Samsung,4.3
Motorola Moto G34 5G 4 Go/128 Go Vert (Ocean Green) Double SIM XT2363-2,101.24,Motorola,4.3
Samsung SM-A256 Galaxy A25 Dual SIM 5G 6GB RAM 128GB Blue Black EU,222.57,Samsung,4.2
Xiaomi Redmi 13C 4GB RAM 128GB ROM [Version Globale] (Navy Blue),132.1,Xiaomi,4.2
"Samsung Galaxy A23 5G (64 GB) Black - Android Smartphone with 4 GB RAM, Free Mobile Phone with 5000 batterymAhand 6.4'' screen (ES Version)",456.38,Samsung,4.1
"SAMSUNG Galaxy A15, Smartphone Android 14, écran Super AMOLED 6,5"" FHD+, 4 Go de RAM, 128 Go, mémoire Interne Extensible jusqu'à 1 to, Batterie 5 000 mAh, Bleu",164.64,SAMSUNG,4.2
Samsung Galaxy A35 128GB 6RAM 5G EU Black,263.47,Samsung,4.2
"TTfone TT150 Téléphone Portable Basique Débloqué avec Bluetooth, Batterie Longue Durée, Double SIM avec Appareil Photo et Jeu, Facile à Utiliser, Robuste et Léger (Black)",29.68,TTfone,3.3
"POCO C75 6GB 128GB Or, Smartphone Android, 2,0 GHz, écran de 6,88"", Double caméra AI de 50 MP, Batterie de 5160mAh(Version Française + 2 Ans de Garantie)",124.9,POCO,4.2
"Motorola G34 5G 128 GB, smartphone débloqué, écran 6,5"", double capteur 50 mp, batterie 5000 mAh, chargeur 20W et coque de proctection inclus, Ice Blue",174.6,Motorola,4.4
Samsung Galaxy A14 4GB_128GB Black,173.42,Samsung,4.4
"Samsung Galaxy A15, Dual, 128GB 4GB Ram, Blue",174.37,Samsung,4.4
Mobile Phone Galaxy S21 FE 5G/128GB Graph. SM-G990B SAMSUNG,265.0,Mobile,4.2
"Xiaomi POCO M6 Pro, Téléphone Mobile 8/256Go Noir, Carte SIM Non Incluse, Smartphone Android, Version FR",171.9,Xiaomi,4.4
Energizer - Mobile E13-2G - Téléphone Portable Double Sim - Noir - Mini SIM - Débloqué - Torche,27.55,Energizer,3.8
"Xiaomi Redmi 13C NFC smartphone 4 Go RAM 128 Go ROM 6,74 ""écran 90 Hz 50 MP triple caméra 5000 mAh charge batterie Processeur Pide Otto Core double SIM carte MIUI 14"" Vert (sans chargeur)",0.0,Xiaomi,0.0
Samsung SM-A155F Galaxy A15 Dual SIM 4GB RAM 128GB Blue Black EU,147.85,Samsung,4.4
Energizer - Téléphone Mobile à Clavier Physique E29-2G - GSM - Double Sim (Mini SIM) - Noir - Débloqué- Téléphone sénior Robuste Pas Cher,19.49,Energizer,3.4
"Téléphone Google Pixel 8 Débloqué 5G, 8Go 256GB Noir volcanique",568.8,Téléphone,4.2
"Samsung Galaxy Z Fold6, Smartphone Android 5G avec Galaxy AI, 1 To, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Gris, Version FR",0.0,Samsung,4.7
"Samsung Galaxy Z Flip6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Gris, Version FR",989.0,Samsung,3.7
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Rose Pivoine, 256GB",899.0,Google,4.5
"Samsung Galaxy S24, Smartphone Android 5G, 128 Go, Chargeur secteur rapide 25W inclus [Exclusivité Amazon], Smartphone déverrouillé, Indigo, Version FR",699.0,Samsung,4.3
SAMSUNG Galaxy S22 5G Téléphone Mobile 128 Go SIM Libre Android Smartphone Phantom Black,320.99,SAMSUNG,4.2
"realme Smartphone Note 50 4G 4+128GB, Écran Lumineux 90 Hz, Appareil Photo avec I.A. de 13 MP, Ultra Fin avec Ses 7,99 mm, Batterie puissante de 5 000 mAh, Noir Minuit",94.56,realme,4.2
Samsung S23 8_128GB Noir,752.27,Samsung,4.4
Samsung Galaxy A25 Smartphone 128 Go 5G Bleu nuit,216.93,Samsung,4.4
"CMF Phone 1 8+128GB - Telephone Portable avec Appareil Photo arrière Sony 50 MP avec Ultra XDR, Affichage Super AMOLED 6,67"" et Nothing OS 2.6 - Noir",179.9,CMF,4.5
